"행정구역","총인구수","세대수","세대당인구","남자인구수","여자인구수","남여비율"
"서울특별시","9407540","4479781","2.1","4552501","4855039","93.77"
"서울특별시 종로구","139945","66640","2.1","67625","72320","93.51"
"서울특별시 종로구 청운효자동","11391","5424","2.1","5203","6188","84.08"
"서울특별시 종로구 사직동","9042","4306","2.1","4019","5023","80.01"
"서울특별시 종로구 삼청동","2252","1072","2.1","1075","1177","91.33"
"서울특별시 종로구 부암동","9136","4350","2.1","4326","4810","89.94"
"서울특별시 종로구 평창동","17442","8306","2.1","8121","9321","87.13"
"서울특별시 종로구 무악동","8012","3815","2.1","3666","4346","84.35"
"서울특별시 종로구 교남동","9700","4619","2.1","4455","5245","84.94"
"서울특별시 종로구 가회동","3876","1846","2.1","1795","2081","86.26"
"서울특별시 종로구 종로1.2.3.4가동","6730","3205","2.1","4093","2637","155.21"
"서울특별시 종로구 종로5.6가동","5404","2573","2.1","2857","2547","112.17"
"서울특별시 종로구 이화동","6988","3328","2.1","3314","3674","90.2"
"서울특별시 종로구 혜화동","16008","7623","2.1","7694","8314","92.54"
"서울특별시 종로구 창신제1동","4559","2171","2.1","2416","2143","112.74"
"서울특별시 종로구 창신제2동","7541","3591","2.1","3899","3642","107.06"
"서울특별시 종로구 창신제3동","6369","3033","2.1","3129","3240","96.57"
